Movie,vote_average,revenue,,,,,,,,,,,
Toy Story,7.7,373554033,,,,vote_average,revenue,,,,,,
,,,,,5366,55325861.63,-55230861.63,,,,,,
,,,,,5367,86132484.25,36782626.75,,,,,,
,,,,,5368,68161954.39,-46641235.39,,,,,,
,,,,,5369,93834139.91,-60034139.91,,,,,,
,,,,,5370,60460298.73,-51905290.73,,,,,,
,,,,,5371,42489768.87,28519565.13,,,,,,
,,,,,5372,78430828.59,-77975013.59,,,,,,
,,,,,5373,80998047.15,-80990082.15,,,,,,
,,,,,5374,63027517.28,-59331285.28,,,,,,
,,,,,5375,116939106.9,70060893.13,,,,,,
,,,,,5376,83565265.7,-77456545.7,,,,,,
,,,,,5377,29653676.11,-26968223.11,,,,,,
,,,,,5378,83565265.7,41971925.3,,,,,,
,,,,,5379,47624205.97,-47600121.97,,,,,,
,,,,,5380,88699702.8,555871699.2,,,,,,
,,,,,5381,116939106.9,-61740821.87,,,,,,
,,,,,5382,-85871158.73,87171158.73,,,,,,
,,,,,5383,78430828.59,-22936762.59,,,,,,
,,,,,5384,60460298.73,49539701.27,,,,,,
,,,,,5385,42489768.87,-40814284.87,,,,,,
,,,,,5386,78430828.59,55971621.41,,,,,,
,,,,,5387,80998047.15,-69210920.15,,,,,,
,,,,,5388,104103014.1,-3973142.114,,,,,,
,,,,,5389,104103014.1,-27516698.11,,,,,,
,,,,,5390,86132484.25,-14507289.25,,,,,,
,,,,,5391,96401358.46,-81103003.46,,,,,,
,,,,,5392,104103014.1,-51103014.11,,,,,,
,,,,,5393,104103014.1,743320437.9,,,,,,
,,,,,5394,109237451.2,849162548.8,,,,,,
,,,,,5395,65594735.83,85367739.17,,,,,,
,,,,,5396,73296391.49,-22132285.49,,,,,,
,,,,,5397,78430828.59,-78419178.59,,,,,,
,,,,,5398,65594735.83,-65494258.83,,,,,,
,,,,,5399,78430828.59,-62430828.59,,,,,,
,,,,,5400,65594735.83,-62528875.83,,,,,,
,,,,,5401,98968577.01,-66033258.01,,,,,,
,,,,,5402,116939106.9,275061587.1,,,,,,
,,,,,5403,78430828.59,-35371930.59,,,,,,
,,,,,5404,80998047.15,-53668047.15,,,,,,
,,,,,5405,91266921.35,-17077984.35,,,,,,
,,,,,5406,68161954.39,-68155807.39,,,,,,
,,,,,5407,88699702.8,162472104.2,,,,,,
,,,,,5408,116939106.9,-69587855.87,,,,,,
,,,,,5409,73296391.49,-51078984.49,,,,,,
,,,,,5410,104103014.1,45192586.89,,,,,,
,,,,,5411,91266921.35,-90883627.35,,,,,,
,,,,,5412,101535795.6,11008784.44,,,,,,
,,,,,5413,50191424.52,-34012465.52,,,,,,
,,,,,5414,50191424.52,-31045692.52,,,,,,
,,,,,5415,37355331.76,-37354943.76,,,,,,
,,,,,5416,119506325.4,-104526320.4,,,,,,
,,,,,5417,68161954.39,-65406370.39,,,,,,
,,,,,5418,68161954.39,105487060.6,,,,,,
,,,,,5419,91266921.35,-91131882.35,,,,,,
,,,,,5420,86132484.25,626427.7501,,,,,,
,,,,,5421,68161954.39,5972835.614,,,,,,
,,,,,5422,63027517.28,-62886530.28,,,,,,
,,,,,5423,55325861.63,-43908499.63,,,,,,
,,,,,5424,98968577.01,-41684340.01,,,,,,
,,,,,5425,68161954.39,-23254694.39,,,,,,
,,,,,5426,73296391.49,-61296391.49,,,,,,
,,,,,5427,55325861.63,-55150156.63,,,,,,
,,,,,5428,47624205.97,38738166.03,,,,,,
,,,,,5429,78430828.59,-57404538.59,,,,,,
,,,,,5430,73296391.49,-68796391.49,,,,,,
,,,,,5431,86132484.25,-63823261.25,,,,,,
,,,,,5432,50191424.52,-28425153.52,,,,,,
,,,,,5433,75863610.04,-74364335.04,,,,,,
,,,,,5434,70729172.94,83268646.06,,,,,,
,,,,,5435,65594735.83,-15045628.83,,,,,,
,,,,,5436,91266921.35,197480973.6,,,,,,
,,,,,5437,27086457.56,9347517.445,,,,,,
,,,,,5438,65594735.83,-65046696.83,,,,,,
,,,,,5439,34788113.21,-12363918.21,,,,,,
,,,,,5440,60460298.73,-60441656.73,,,,,,
,,,,,5441,55325861.63,-55277471.63,,,,,,
,,,,,5442,93834139.91,-88678814.91,,,,,,
,,,,,5443,96401358.46,-50401358.46,,,,,,
,,,,,5444,80998047.15,-67043571.15,,,,,,
,,,,,5445,45056987.42,26097604.58,,,,,,
,,,,,5446,65594735.83,-65519592.83,,,,,,
,,,,,5447,86132484.25,-82735758.25,,,,,,
,,,,,5448,86132484.25,-65856672.25,,,,,,
,,,,,5449,86132484.25,-76637695.25,,,,,,
,,,,,5450,68161954.39,23591247.61,,,,,,
,,,,,5451,21952020.45,-20614746.45,,,,,,
,,,,,5452,63027517.28,91956517.72,,,,,,
,,,,,5453,106670232.7,362490459.3,,,,,,
,,,,,5454,96401358.46,-43401358.46,,,,,,
,,,,,5455,70729172.94,-59229172.94,,,,,,
,,,,,5456,83565265.7,-81338098.7,,,,,,
,,,,,5457,109237451.2,-101237451.2,,,,,,
,,,,,5458,109237451.2,-101237451.2,,,,,,
,,,,,5459,37355331.76,94070837.24,,,,,,
,,,,,5460,73296391.49,-68496311.49,,,,,,
,,,,,5461,73296391.49,-66120044.49,,,,,,
,,,,,5462,65594735.83,-64824029.83,,,,,,
,,,,,5463,42489768.87,-9997094.867,,,,,,
,,,,,5464,68161954.39,-37361723.39,,,,,,
,,,,,5465,52758643.07,-33439389.07,,,,,,
,,,,,5466,6548709.14,-1548709.14,,,,,,
,,,,,5467,55325861.63,-55308890.63,,,,,,
,,,,,5468,86132484.25,-86127691.25,,,,,,
,,,,,5469,68161954.39,-19159270.39,,,,,,
,,,,,5470,119506325.4,55093992.57,,,,,,
,,,,,5471,70729172.94,-44680090.94,,,,,,
,,,,,5472,122073544,553046473,,,,,,
,,,,,5473,68161954.39,-15563955.39,,,,,,
,,,,,5474,88699702.8,134109897.2,,,,,,
,,,,,5475,70729172.94,-70714172.94,,,,,,
,,,,,5476,70729172.94,266850878.1,,,,,,
,,,,,5477,47624205.97,-47567631.97,,,,,,
,,,,,5478,86132484.25,-83008521.25,,,,,,
,,,,,5479,68161954.39,-42956494.39,,,,,,
,,,,,5480,21952020.45,-20265591.45,,,,,,
,,,,,5481,101535795.6,-100889081.6,,,,,,
,,,,,5482,86132484.25,186779945.8,,,,,,
,,,,,5483,70729172.94,132548463.1,,,,,,
,,,,,5484,80998047.15,-77512920.15,,,,,,
,,,,,5485,78430828.59,-70630828.59,,,,,,
,,,,,5486,65594735.83,2205328.166,,,,,,
,,,,,5487,57893080.18,-18571365.18,,,,,,
,,,,,5488,80998047.15,-78586902.15,,,,,,
,,,,,5489,78430828.59,-76877002.59,,,,,,
,,,,,5490,83565265.7,-77027088.7,,,,,,
,,,,,5491,65594735.83,-65528279.83,,,,,,
,,,,,5492,109237451.2,605529120.8,,,,,,
,,,,,5493,96401358.46,-96346443.46,,,,,,
,,,,,5494,55325861.63,307311611.4,,,,,,
,,,,,5495,98968577.01,36591448.99,,,,,,
,,,,,5496,98968577.01,-98831117.01,,,,,,
,,,,,5497,80998047.15,-80898744.15,,,,,,
,,,,,5498,111804669.8,-111208669.8,,,,,,
,,,,,5499,73296391.49,-73282582.49,,,,,,
,,,,,5500,27086457.56,34192994.44,,,,,,
,,,,,5501,73296391.49,7086898.51,,,,,,
,,,,,5502,63027517.28,-62504006.28,,,,,,
,,,,,5503,68161954.39,-65746482.39,,,,,,
,,,,,5504,65594735.83,-63169735.83,,,,,,
,,,,,5505,80998047.15,-77094568.15,,,,,,
,,,,,5506,70729172.94,-70727234.94,,,,,,
,,,,,5507,45056987.42,-27222120.42,,,,,,
,,,,,5508,80998047.15,-52166902.15,,,,,,
,,,,,5509,80998047.15,624719384.9,,,,,,
,,,,,5510,73296391.49,-20973991.49,,,,,,
,,,,,5511,75863610.04,-31833364.04,,,,,,
,,,,,5512,60460298.73,-10223467.73,,,,,,
,,,,,5513,65594735.83,-35805735.83,,,,,,
,,,,,5514,75863610.04,-75436192.04,,,,,,
,,,,,5515,39922550.31,-39474766.31,,,,,,
,,,,,5516,106670232.7,270680320.3,,,,,,
,,,,,5517,106670232.7,270680320.3,,,,,,
,,,,,5518,75863610.04,424324825,,,,,,
,,,,,5519,65594735.83,-62913390.83,,,,,,
,,,,,5520,65594735.83,37444522.17,,,,,,
,,,,,5521,70729172.94,30603789.06,,,,,,
,,,,,5522,68161954.39,33838045.61,,,,,,
,,,,,5523,78430828.59,-76205730.59,,,,,,
,,,,,5524,60460298.73,8436530.27,,,,,,
,,,,,5525,91266921.35,-86631621.35,,,,,,
,,,,,5526,47624205.97,70207425.03,,,,,,
,,,,,5527,47624205.97,-17707998.97,,,,,,
,,,,,5528,86132484.25,-84082889.25,,,,,,
,,,,,5529,52758643.07,-52754456.07,,,,,,
,,,,,5530,98968577.01,-82463117.01,,,,,,
,,,,,5531,78430828.59,-68930828.59,,,,,,
,,,,,5532,55325861.63,-44896154.63,,,,,,
,,,,,5533,106670232.7,641192542.3,,,,,,
,,,,,5534,50191424.52,328822869.5,,,,,,
,,,,,5535,63027517.28,-62968308.28,,,,,,
,,,,,5536,91266921.35,-91008537.35,,,,,,
,,,,,5537,63027517.28,-44365490.28,,,,,,
,,,,,5538,98968577.01,-53000642.01,,,,,,
,,,,,5539,106670232.7,-73274806.67,,,,,,
,,,,,5540,78430828.59,-78309649.59,,,,,,
,,,,,5541,83565265.7,39929344.3,,,,,,
,,,,,5542,101535795.6,-38070934.56,,,,,,
,,,,,5543,73296391.49,-73296347.49,,,,,,
,,,,,5544,73296391.49,-67891078.49,,,,,,
,,,,,5545,93834139.91,664705645.1,,,,,,
,,,,,5546,55325861.63,-50818398.63,,,,,,
,,,,,5547,37355331.76,-37340384.76,,,,,,
,,,,,5548,91266921.35,-91252921.35,,,,,,
,,,,,5549,109237451.2,261303804.8,,,,,,
,,,,,5550,93834139.91,-88955897.91,,,,,,
,,,,,5551,96401358.46,585928780.5,,,,,,
,,,,,5552,83565265.7,-45257638.7,,,,,,
,,,,,5553,50191424.52,-49850513.52,,,,,,
,,,,,5554,63027517.28,-62892883.28,,,,,,
,,,,,5555,88699702.8,174891712.2,,,,,,
,,,,,5556,109237451.2,197929382.8,,,,,,
,,,,,5557,86132484.25,-82702466.25,,,,,,
,,,,,5558,63027517.28,-56009328.28,,,,,,
,,,,,5559,88699702.8,174891712.2,,,,,,
,,,,,5560,65594735.83,-65579899.83,,,,,,
,,,,,5561,93834139.91,-93718279.91,,,,,,
,,,,,5562,63027517.28,-61689152.28,,,,,,
,,,,,5563,80998047.15,-79798047.15,,,,,,
,,,,,5564,11683146.24,-11183146.24,,,,,,
,,,,,5565,93834139.91,94607474.09,,,,,,
,,,,,5566,96401358.46,95929379.54,,,,,,
,,,,,5567,109237451.2,499885596.8,,,,,,
,,,,,5568,104103014.1,-887920.1135,,,,,,
,,,,,5569,75863610.04,-65644150.04,,,,,,
,,,,,5570,106670232.7,-62321232.67,,,,,,
,,,,,5571,75863610.04,-5682182.042,,,,,,
,,,,,5572,70729172.94,-69938751.94,,,,,,
,,,,,5573,88699702.8,-21352689.8,,,,,,
,,,,,5574,114371888.3,-114322977.3,,,,,,
,,,,,5575,63027517.28,1028377580,,,,,,
,,,,,5576,114371888.3,-112868272.3,,,,,,
,,,,,5577,88699702.8,-88054516.8,,,,,,
,,,,,5578,63027517.28,88138269.72,,,,,,
,,,,,5579,34788113.21,-11788113.21,,,,,,
,,,,,5580,42489768.87,58035663.13,,,,,,
,,,,,5581,80998047.15,-74321576.15,,,,,,
,,,,,5582,106670232.7,-104951904.7,,,,,,
,,,,,5583,127207981.1,-114115981.1,,,,,,
,,,,,5584,116939106.9,252391256.1,,,,,,
,,,,,5585,101535795.6,609108770.4,,,,,,
,,,,,5586,55325861.63,-55250943.63,,,,,,
,,,,,5587,75863610.04,-40749182.04,,,,,,
,,,,,5588,106670232.7,-106468957.7,,,,,,
,,,,,5589,60460298.73,-35147911.73,,,,,,
,,,,,5590,47624205.97,78445303.03,,,,,,
,,,,,5591,106670232.7,-106333760.7,,,,,,
,,,,,5592,83565265.7,25217581.3,,,,,,
,,,,,5593,80998047.15,-77651790.15,,,,,,
,,,,,5594,116939106.9,656389522.1,,,,,,
,,,,,5595,65594735.83,-65344830.83,,,,,,
,,,,,5596,80998047.15,-78392047.15,,,,,,
,,,,,5597,70729172.94,135443371.1,,,,,,
,,,,,5598,96401358.46,-64401358.46,,,,,,
,,,,,5599,101535795.6,151176305.4,,,,,,
,,,,,5600,80998047.15,-49443192.15,,,,,,
,,,,,5601,78430828.59,-72947529.59,,,,,,
,,,,,5602,70729172.94,-70458962.94,,,,,,
,,,,,5603,60460298.73,-15160298.73,,,,,,
,,,,,5604,86132484.25,33161.75008,,,,,,
,,,,,5605,42489768.87,-42401495.87,,,,,,
,,,,,5606,70729172.94,-68433749.94,,,,,,
,,,,,5607,78430828.59,-46519230.59,,,,,,
,,,,,5608,80998047.15,-29968686.15,,,,,,
,,,,,5609,101535795.6,-12654974.56,,,,,,
,,,,,5610,101535795.6,-96964770.56,,,,,,
,,,,,5611,47624205.97,136363517,,,,,,
,,,,,5612,80998047.15,121001952.9,,,,,,
,,,,,5613,73296391.49,-73089482.49,,,,,,
,,,,,5614,78430828.59,-11450372.59,,,,,,
,,,,,5615,70729172.94,-70715403.94,,,,,,
,,,,,5616,34788113.21,26352916.79,,,,,,
,,,,,5617,78430828.59,58190442.41,,,,,,
,,,,,5618,57893080.18,-52304280.18,,,,,,
,,,,,5619,68161954.39,-68161884.39,,,,,,
,,,,,5620,57893080.18,-57883859.18,,,,,,
,,,,,5621,73296391.49,-73296269.49,,,,,,
,,,,,5622,75863610.04,-36455994.04,,,,,,
,,,,,5623,101535795.6,-22660952.56,,,,,,
,,,,,5624,98968577.01,-98865960.01,,,,,,
,,,,,5625,32220894.66,-18355459.66,,,,,,
,,,,,5626,55325861.63,-55060409.63,,,,,,
,,,,,5627,70729172.94,-30629172.94,,,,,,
,,,,,5628,78430828.59,-62430828.59,,,,,,
,,,,,5629,80998047.15,-78630886.15,,,,,,
,,,,,5630,73296391.49,-57849237.49,,,,,,
,,,,,5631,14250364.8,-13403660.8,,,,,,
,,,,,5632,63027517.28,-61278316.28,,,,,,
,,,,,5633,60460298.73,-60290322.73,,,,,,
,,,,,5634,86132484.25,-67077950.25,,,,,,
,,,,,5635,86132484.25,-80848175.25,,,,,,
,,,,,5636,88699702.8,-88643316.8,,,,,,
,,,,,5637,91266921.35,-63066921.35,,,,,,
,,,,,5638,93834139.91,254485721.1,,,,,,
,,,,,5639,86132484.25,-86072740.25,,,,,,
,,,,,5640,65594735.83,-63448694.83,,,,,,
,,,,,5641,73296391.49,-20114791.49,,,,,,
,,,,,5642,70729172.94,-63201940.94,,,,,,
,,,,,5643,70729172.94,-69662191.94,,,,,,
,,,,,5644,86132484.25,-84842486.25,,,,,,
,,,,,5645,80998047.15,-80957647.15,,,,,,
,,,,,5646,78430828.59,-74987975.59,,,,,,
,,,,,5647,68161954.39,-35605835.39,,,,,,
,,,,,5648,106670232.7,-95670232.67,,,,,,
,,,,,5649,70729172.94,-70695351.94,,,,,,
,,,,,5650,83565265.7,24690504.3,,,,,,
,,,,,5651,80998047.15,-39701727.15,,,,,,
,,,,,5652,119506325.4,-119173615.4,,,,,,
,,,,,5653,104103014.1,438204408.9,,,,,,
,,,,,5654,45056987.42,-43230282.42,,,,,,
,,,,,5655,91266921.35,-90142476.35,,,,,,
,,,,,5656,55325861.63,199947951.4,,,,,,
,,,,,5657,75863610.04,-75844998.04,,,,,,
,,,,,5658,73296391.49,142232809.5,,,,,,
,,,,,5659,32220894.66,234365905.3,,,,,,
,,,,,5660,45056987.42,-45050588.42,,,,,,
,,,,,5661,27086457.56,-25347560.56,,,,,,
,,,,,5662,101535795.6,-98535795.56,,,,,,
,,,,,5663,63027517.28,-62753873.28,,,,,,
,,,,,5664,104103014.1,-100770014.1,,,,,,
,,,,,5665,98968577.01,-63042364.01,,,,,,
,,,,,5666,93834139.91,-5072478.906,,,,,,
,,,,,5667,98968577.01,-15249189.01,,,,,,
,,,,,5668,73296391.49,-72311384.49,,,,,,
,,,,,5669,78430828.59,-76168605.59,,,,,,
,,,,,5670,73296391.49,-31226391.49,,,,,,
,,,,,5671,96401358.46,-41564124.46,,,,,,
,,,,,5672,88699702.8,-37699702.8,,,,,,
,,,,,5673,70729172.94,29924976.06,,,,,,
,,,,,5674,63027517.28,-58573993.28,,,,,,
,,,,,5675,39922550.31,63667720.69,,,,,,
,,,,,5676,109237451.2,-70540234.22,,,,,,
,,,,,5677,63027517.28,-54384659.28,,,,,,
,,,,,5678,9115927.692,-7151674.692,,,,,,
,,,,,5679,114371888.3,537733554.7,,,,,,
,,,,,5680,111804669.8,-107365238.8,,,,,,
,,,,,5681,106670232.7,-106642024.7,,,,,,
,,,,,5682,109237451.2,-72368037.22,,,,,,
,,,,,5683,47624205.97,-46261902.97,,,,,,
,,,,,5684,80998047.15,-80989796.15,,,,,,
,,,,,5685,75863610.04,-66888781.04,,,,,,
,,,,,5686,75863610.04,-70458110.04,,,,,,
,,,,,5687,83565265.7,-35137202.7,,,,,,
,,,,,5688,83565265.7,-81622842.7,,,,,,
,,,,,5689,78430828.59,-78420069.59,,,,,,
,,,,,5690,57893080.18,-43893080.18,,,,,,
,,,,,5691,80998047.15,-59798047.15,,,,,,
,,,,,5692,86132484.25,-15132484.25,,,,,,
,,,,,5693,86132484.25,-15132484.25,,,,,,
,,,,,5694,101535795.6,-101471568.6,,,,,,
,,,,,5695,80998047.15,-68901747.15,,,,,,
,,,,,5696,65594735.83,-55964291.83,,,,,,
,,,,,5697,104103014.1,-96103014.11,,,,,,
,,,,,5698,47624205.97,78922312.03,,,,,,
,,,,,5699,50191424.52,-50070744.52,,,,,,
,,,,,5700,101535795.6,-101524309.6,,,,,,
,,,,,5701,70729172.94,-70720907.94,,,,,,
,,,,,5702,63027517.28,-28465295.28,,,,,,
,,,,,5703,-6287383.62,6287401.62,,,,,,
,,,,,5704,93834139.91,-93074139.91,,,,,,
,,,,,5705,50191424.52,-50015033.52,,,,,,
,,,,,5706,80998047.15,-51115402.15,,,,,,
,,,,,5707,119506325.4,114049382.6,,,,,,
,,,,,5708,80998047.15,-69887072.15,,,,,,
,,,,,5709,83565265.7,668534963.3,,,,,,
,,,,,5710,57893080.18,210138747.8,,,,,,
,,,,,5711,50191424.52,-39766954.52,,,,,,
,,,,,5712,52758643.07,117078366.9,,,,,,
,,,,,5713,39922550.31,-24922550.31,,,,,,
,,,,,5714,106670232.7,-106468957.7,,,,,,
,,,,,5715,78430828.59,-78215332.59,,,,,,
,,,,,5716,80998047.15,-70097613.15,,,,,,
,,,,,5717,86132484.25,-33707951.25,,,,,,
,,,,,5718,75863610.04,-45735647.04,,,,,,
,,,,,5719,88699702.8,-72699702.8,,,,,,
,,,,,5720,55325861.63,-55318690.63,,,,,,
,,,,,5721,29653676.11,-29650920.11,,,,,,
,,,,,5722,104103014.1,-101295624.1,,,,,,
,,,,,5723,122073544,-121216022,,,,,,
,,,,,5724,93834139.91,-79215412.91,,,,,,
,,,,,5725,75863610.04,-75834116.04,,,,,,
,,,,,5726,80998047.15,12822710.85,,,,,,
,,,,,5727,32220894.66,-29612894.66,,,,,,
,,,,,5728,80998047.15,1432530763,,,,,,
,,,,,5729,116939106.9,-113935937.9,,,,,,
,,,,,5730,70729172.94,36941184.06,,,,,,
,,,,,5731,70729172.94,-69129172.94,,,,,,
,,,,,5732,91266921.35,-63632205.35,,,,,,
,,,,,5733,80998047.15,292554046.9,,,,,,
,,,,,5734,80998047.15,-59426858.15,,,,,,
,,,,,5735,86132484.25,-84506637.25,,,,,,
,,,,,5736,70729172.94,-70716925.94,,,,,,
,,,,,5737,88699702.8,-73179679.8,,,,,,
,,,,,5738,106670232.7,-62785580.67,,,,,,
,,,,,5739,93834139.91,165373087.1,,,,,,
,,,,,5740,80998047.15,230258878.9,,,,,,
,,,,,5741,78430828.59,-22936762.59,,,,,,
,,,,,5742,86132484.25,-84280967.25,,,,,,
,,,,,5743,80998047.15,-56736478.15,,,,,,
,,,,,5744,83565265.7,-81114419.7,,,,,,
,,,,,5745,65594735.83,-65244729.83,,,,,,
,,,,,5746,96401358.46,859618429.5,,,,,,
,,,,,5747,104103014.1,-37315106.11,,,,,,
,,,,,5748,101535795.6,61907141.44,,,,,,
,,,,,5749,73296391.49,-72124832.49,,,,,,
,,,,,5750,60460298.73,-52572196.73,,,,,,
,,,,,5751,63027517.28,-35840142.28,,,,,,
,,,,,5752,91266921.35,-90871921.35,,,,,,
,,,,,5753,124640762.5,-121146692.5,,,,,,
,,,,,5754,80998047.15,-68990977.15,,,,,,
,,,,,5755,93834139.91,-41332598.91,,,,,,
,,,,,5756,73296391.49,-58939912.49,,,,,,
,,,,,5757,106670232.7,1738363955,,,,,,
,,,,,5758,75863610.04,-50429319.04,,,,,,
,,,,,5759,88699702.8,-59816191.8,,,,,,
,,,,,5760,78430828.59,-77969666.59,,,,,,
,,,,,5761,109237451.2,305114094.8,,,,,,
,,,,,5762,75863610.04,-43863610.04,,,,,,
,,,,,5763,70729172.94,278695109.1,,,,,,
,,,,,5764,86132484.25,-32918851.25,,,,,,
,,,,,5765,37355331.76,-34964806.76,,,,,,
,,,,,5766,47624205.97,66554407.03,,,,,,
,,,,,5767,19384801.9,-8641034.899,,,,,,
,,,,,5768,57893080.18,-53256911.18,,,,,,
,,,,,5769,16817583.35,-16808367.35,,,,,,
,,,,,5770,73296391.49,-16237388.49,,,,,,
,,,,,5771,111804669.8,8195330.231,,,,,,
,,,,,5772,32220894.66,-32128794.66,,,,,,
,,,,,5773,-26825132.04,26898838.04,,,,,,
,,,,,5774,47624205.97,-41785041.97,,,,,,
,,,,,5775,129775199.6,-128129488.6,,,,,,
,,,,,5776,68161954.39,-68106672.39,,,,,,
,,,,,5777,39922550.31,-39913355.31,,,,,,
,,,,,5778,83565265.7,20834282.3,,,,,,
,,,,,5779,47624205.97,-47516051.97,,,,,,
,,,,,5780,78430828.59,-77070918.59,,,,,,
,,,,,5781,70729172.94,255042251.1,,,,,,
,,,,,5782,45056987.42,-27304047.42,,,,,,
,,,,,5783,63027517.28,377576019.7,,,,,,
,,,,,5784,-85871158.73,85886662.73,,,,,,
,,,,,5785,42489768.87,-15988445.87,,,,,,
,,,,,5786,-21690694.93,21721649.93,,,,,,
,,,,,5787,101535795.6,-89535795.56,,,,,,
,,,,,5788,19384801.9,-16901671.9,,,,,,
,,,,,5789,80998047.15,-72655915.15,,,,,,
,,,,,5790,37355331.76,61086622.24,,,,,,
,,,,,5791,96401358.46,351598641.5,,,,,,
,,,,,5792,39922550.31,-29922550.31,,,,,,
,,,,,5793,86132484.25,-86132483.25,,,,,,
,,,,,5794,93834139.91,-61603232.91,,,,,,
,,,,,5795,101535795.6,-100841195.6,,,,,,
,,,,,5796,60460298.73,-23760895.73,,,,,,
,,,,,5797,60460298.73,-44122417.73,,,,,,
,,,,,5798,32220894.66,-30545513.66,,,,,,
,,,,,5799,88699702.8,-88692497.8,,,,,,
,,,,,5800,83565265.7,-68891189.7,,,,,,
,,,,,5801,93834139.91,58165860.09,,,,,,
,,,,,5802,70729172.94,-70703117.94,,,,,,
,,,,,5803,83565265.7,-82303174.7,,,,,,
,,,,,5804,-13989039.28,14030271.28,,,,,,
,,,,,5805,63027517.28,-60798566.28,,,,,,
,,,,,5806,63027517.28,-60798566.28,,,,,,
,,,,,5807,52758643.07,-49199974.07,,,,,,
,,,,,5808,75863610.04,-75054610.04,,,,,,
,,,,,5809,73296391.49,-46763191.49,,,,,,
,,,,,5810,63027517.28,-63012573.28,,,,,,
,,,,,5811,55325861.63,172491386.4,,,,,,
,,,,,5812,68161954.39,-59267665.39,,,,,,
,,,,,5813,104103014.1,-103238355.1,,,,,,
,,,,,5814,80998047.15,-51115402.15,,,,,,
,,,,,5815,116939106.9,-90928242.87,,,,,,
,,,,,5816,78430828.59,-78135384.59,,,,,,
,,,,,5817,52758643.07,-40558643.07,,,,,,
,,,,,5818,86132484.25,-75710097.25,,,,,,
,,,,,5819,70729172.94,-70703391.94,,,,,,
,,,,,5820,39922550.31,-25094469.31,,,,,,
,,,,,5821,80998047.15,-80986771.15,,,,,,
,,,,,5822,63027517.28,-57827517.28,,,,,,
,,,,,5823,47624205.97,-47607194.97,,,,,,
,,,,,5824,88699702.8,134109897.2,,,,,,
,,,,,5825,78430828.59,207737743.4,,,,,,
,,,,,5826,93834139.91,-33455555.91,,,,,,
,,,,,5827,47624205.97,-35951842.97,,,,,,
,,,,,5828,101535795.6,277322544.4,,,,,,
,,,,,5829,75863610.04,28440240.96,,,,,,
,,,,,5830,106670232.7,1961553391,,,,,,
,,,,,5831,106670232.7,40229767.33,,,,,,
,,,,,5832,75863610.04,357813573,,,,,,
,,,,,5833,101535795.6,1303867898,,,,,,
,,,,,5834,83565265.7,710626722.3,,,,,,
,,,,,5835,93834139.91,425477825.1,,,,,,
,,,,,5836,55325861.63,275253857.4,,,,,,
,,,,,5837,104103014.1,679009964.9,,,,,,
,,,,,5838,109237451.2,754178689.8,,,,,,
,,,,,5839,96401358.46,1056903137,,,,,,
,,,,,5840,78430828.59,465503958.4,,,,,,
,,,,,5841,32220894.66,-28850320.66,,,,,,
,,,,,5842,57893080.18,-55490621.18,,,,,,
,,,,,5843,91266921.35,-88575022.35,,,,,,
,,,,,5844,106670232.7,-104170232.7,,,,,,
,,,,,5845,29653676.11,-27464629.11,,,,,,
,,,,,5846,101535795.6,28757918.44,,,,,,
,,,,,5847,86132484.25,-85455959.25,,,,,,
,,,,,5848,98968577.01,127861991,,,,,,
,,,,,5849,60460298.73,28701863.27,,,,,,
,,,,,5850,34788113.21,-30788113.21,,,,,,
,,,,,5851,63027517.28,-4174411.282,,,,,,
,,,,,5852,55325861.63,172491386.4,,,,,,
,,,,,5853,93834139.91,478165860.1,,,,,,
,,,,,5854,101535795.6,-94317455.56,,,,,,
,,,,,5855,106670232.7,-104170232.7,,,,,,
,,,,,5856,78430828.59,-59648428.59,,,,,,
,,,,,5857,50191424.52,11755842.48,,,,,,
,,,,,5858,86132484.25,-81829133.25,,,,,,
,,,,,5859,86132484.25,-84382484.25,,,,,,
,,,,,5860,91266921.35,-89266921.35,,,,,,
,,,,,5861,83565265.7,268018141.3,,,,,,
,,,,,5862,86132484.25,-76132484.25,,,,,,
,,,,,5863,39922550.31,-39922549.31,,,,,,
,,,,,5864,55325861.63,-54088246.63,,,,,,
,,,,,5865,63027517.28,-24867612.28,,,,,,
,,,,,5866,80998047.15,-79548047.15,,,,,,
,,,,,5867,73296391.49,-71968390.49,,,,,,
,,,,,5868,39922550.31,-39922549.31,,,,,,
,,,,,5869,68161954.39,-68149954.39,,,,,,
,,,,,5870,55325861.63,-55280158.63,,,,,,
,,,,,5871,73296391.49,-26029390.49,,,,,,
,,,,,5872,11683146.24,-10283146.24,,,,,,
,,,,,5873,45056987.42,-44923216.42,,,,,,
,,,,,5874,63027517.28,-28032869.28,,,,,,
,,,,,5875,65594735.83,-41516539.83,,,,,,
,,,,,5876,68161954.39,-63961954.39,,,,,,
,,,,,5877,104103014.1,-91095463.11,,,,,,
,,,,,5878,75863610.04,-74720666.04,,,,,,
,,,,,5879,78430828.59,-78173785.59,,,,,,
,,,,,5880,70729172.94,-70682677.94,,,,,,
,,,,,5881,34788113.21,-33083083.21,,,,,,
,,,,,5882,52758643.07,-49390997.07,,,,,,
,,,,,5883,-34526787.69,35455178.69,,,,,,
,,,,,5884,52758643.07,-22340083.07,,,,,,
,,,,,5885,47624205.97,523381922,,,,,,
,,,,,5886,57893080.18,-51095862.18,,,,,,
,,,,,5887,78430828.59,329817088.4,,,,,,
